id,content,score,translated,small_keywords,aggregate_tags,big_label
73c121fd-3c62-4e06-b58a-1e51ede7fecb,"Not good since I went from iPhone to Android, Not sure why it won't allow me to change my phone number and I haven't been notified if I'm done put on restriction or something because I can't tap the screen for likes for people and every time I try to send out gifts it tells me I have to use a password which I've tried to change and it won't allow me.",3,"Not good since I went from iPhone to Android, Not sure why it won't allow me to change my phone number and I haven't been notified if I'm done put on restriction or something because I can't tap the screen for likes for people and every time I try to send out gifts it tells me I have to use a password which I've tried to change and it won't allow me.","['every', 'from', 'try', 'people', 'notified', 'since', 'put', 'something', 'went', 'change', 'restriction', 'won', 'screen', 'tells', 'send', 'number', 'been', 'tried', 'tap', 'out', 'done', 'sure', 'can', 'why', 'iphone', 'phone', 'password', 'gifts', 'haven', 'time', 'use', 'allow', 'good', 'likes', 'which', 'because', 'android']",['account_issue'],Functionality
17034000-6caa-4cf0-8f6e-ce2d0005b4df,Developers can make it more easy for Developers,5,Developers can make it more easy for Developers,"['more', 'make', 'can', 'developers', 'easy']",[],other
e17d62ef-8007-4ddd-a440-27a67b4418a5,you remove people from sending messages is that make sense?,1,you remove people from sending messages is that make sense?,"['messages', 'sending', 'people', 'make', 'sense', 'remove', 'from']",[],other
7a425585-e806-4838-8bec-0e20b681fc93,i can have my friends and jusy watch short videos ig,4,i can have my friends and jusy watch short videos ig,"['watch', 'videos', 'friends', 'jusy', 'can', 'short']",[],other
a468c068-a7a6-4f5b-a6cb-9ddb3c8148d6,I love tiktok so much,5,I love tiktok so much,"['much', 'love', 'tiktok']",[],other
b3e34510-f6f8-405e-a709-ae715e8155ee,pls how do l get more likes and followers on tiktok,5,pls how do l get more likes and followers on tiktok,"['how', 'more', 'likes', 'pls', 'tiktok', 'followers', 'get']",[],other
f46ec837-3b0d-4fe6-ab9f-2482067e9447,snack video vote everyone,5,snack video vote everyone,"['vote', 'snack', 'video', 'everyone']",['content'],Content
f968acd5-a815-4a7d-a6c7-c8760f3a8b86,I lost my drafts i need it urgently how can I please help me,5,I lost my drafts i need it urgently how can I please help me,"['help', 'urgently', 'how', 'lost', 'need', 'can', 'please', 'drafts']",[],other
380b01dc-d28b-4c80-899e-9b7321b9863c,Amazing for entertainment,5,Amazing for entertainment,"['entertainment', 'amazing']",[],other
ffb351e1-53e2-4abb-b452-29c7778afc77,someone controlling my app,5,someone controlling my app,"['app', 'someone', 'controlling']",[],other
460aa264-beb2-445b-8021-14e284caf909,seems like if you pick more than one interest when you're setting your account up it just picks one random interest and only shows you videos of the one random interest.,2,seems like if you pick more than one interest when you're setting your account up it just picks one random interest and only shows you videos of the one random interest.,"['one', 'just', 'like', 'pick', 'than', 'random', 'seems', 'account', 'picks', 'more', 'shows', 'videos', 'when', 'interest', 'only', 'setting', 'your']",['account_issue'],Functionality
eae001a5-7f4a-4c07-a2f1-8bcc29eec332,Same ads over and over every 5 seconds,1,Same ads over and over every 5 seconds,"['every', 'seconds', 'over', 'ads', 'same']",['monetization'],Monetization
1d4b3db8-6a08-4d9d-964e-8ef4de18fcdd,Kiukwel tiktok imekuwa sehemu ya kuniondolea mawazo naipenda tiktok,5,Kiukwel tiktok imekuwa sehemu ya kuniondolea mawazo naipenda tiktok,"['imekuwa', 'naipenda', 'kiukwel', 'mawazo', 'kuniondolea', 'sehemu', 'tiktok']",[],other
079769f2-93ca-4a27-af7c-904664496589,it's draining my battery very high make sure about it's size,5,it's draining my battery very high make sure about it's size,"['draining', 'about', 'size', 'make', 'battery', 'high', 'sure', 'very']",[],other
f02dca47-719a-4a76-a103-2e4c357e8445,my account and video viral,5,my account and video viral,"['account', 'viral', 'video']","['account_issue', 'content']",Functionality
61edef41-3f16-4aee-8241-ac28fc19a287,Difficult to navigate between screens.,1,Difficult to navigate between screens.,"['difficult', 'between', 'navigate', 'screens']",[],other
96a77b53-4aa4-41c5-aae4-27151ea39f26,"Like Facebook before it, Tiktok is an exaggeration of the things wrong with the generation that uses it. Yes, I've used it. Yes, this is an informed review. Companies that build platforms like this that incentivize the creation of low-value, click-bait, and/or misinformation content on this scale should be criminally liable. With the recent Meta & YouTube lawsuits... that might actually become reality. Either way, I'm going back to using my brain when I'm bored instead of rotting it with this.",1,"Like Facebook before it, Tiktok is an exaggeration of the things wrong with the generation that uses it. Yes, I've used it. Yes, this is an informed review. Companies that build platforms like this that incentivize the creation of low-value, click-bait, and/or misinformation content on this scale should be criminally liable. With the recent Meta & YouTube lawsuits... that might actually become reality. Either way, I'm going back to using my brain when I'm bored instead of rotting it with this.","['way', 'criminally', 'should', 'content', 'bait', 'become', 'incentivize', 'bored', 'build', 'lawsuits', 'informed', 'reality', 'click', 'low', 'generation', 'youtube', 'meta', 'going', 'scale', 'liable', 'facebook', 'actually', 'review', 'yes', 'using', 'uses', 'brain', 'when', 'instead', 'tiktok', 'might', 'wrong', 'misinformation', 'like', 'creation', 'rotting', 'before', 'things', 'value', 'recent', 'either', 'back', 'platforms', 'exaggeration', 'used', 'companies']",['content'],Content
397c448a-af1d-404c-be9b-225db9ae27dd,sangatsabir1 my user name tiktok account viral me my videos all foryou just me ok,5,sangatsabir1 my user name tiktok account viral me my videos all foryou just me ok,"['foryou', 'just', 'user', 'account', 'viral', 'videos', 'tiktok', 'name', 'all']",['account_issue'],Functionality
298b8465-e341-4a53-b750-9e2d42876960,The government knows this generation too well,5,The government knows this generation too well,"['knows', 'government', 'generation', 'too', 'well']",[],other
f7c6c06a-5768-4d93-92ec-145712447386,"Ai event pictures now? no, I'm not following Ai Luffy on tiktok. Actually I'm deleting the app instead.",1,"Ai event pictures now? no, I'm not following Ai Luffy on tiktok. Actually I'm deleting the app instead.","['now', 'deleting', 'actually', 'pictures', 'following', 'luffy', 'app', 'instead', 'tiktok', 'event']",[],other
a72bd58c-14e4-40ce-a721-2502c64eb3d7,Good social media app for having fun and enjoying with loved ones but the problem I face while using this app it always slow on my phone while using freeze and at times it's goes off while I be using it,2,Good social media app for having fun and enjoying with loved ones but the problem I face while using this app it always slow on my phone while using freeze and at times it's goes off while I be using it,"['ones', 'fun', 'freeze', 'times', 'enjoying', 'goes', 'face', 'phone', 'off', 'using', 'app', 'loved', 'always', 'problem', 'good', 'social', 'media', 'having', 'while', 'slow']",['performance_issue'],Performance
44f47eb5-4564-4889-96d5-79082fc4c8eb,I have been using tiktok since 2019. I still love this app lol,5,I have been using tiktok since 2019. I still love this app lol,"['lol', 'been', 'using', 'app', 'since', 'tiktok', 'still', 'love']",[],other
1fba65a8-a68c-4c83-8801-c1ae9e367fe3,my most favourite app,5,my most favourite app,"['app', 'most', 'favourite']",[],other
3bc3dd71-ad48-4622-8265-7ccd34821964,I can't message with my tiktok please I need help changing this but it's nice and with it's offline videos and saves data,3,I can't message with my tiktok please I need help changing this but it's nice and with it's offline videos and saves data,"['message', 'help', 'nice', 'offline', 'saves', 'videos', 'need', 'data', 'can', 'tiktok', 'changing', 'please']",[],other
d6308495-f553-4743-9ae4-debe96e5ac3c,"I am so over how messed up the algorithm is. No one is liking the posts, I don't get anything I like on my FYP, everyone is back to getting in trouble for being adults while there are people being gifted for being extremely inappropriate and not banned. Yall broke everything they had already fixed.... Its ridiculous. I don't even get the news people I like watching either... I have to actually go to each of their pages to watch anything. When I like just about every post they make.",2,"I am so over how messed up the algorithm is. No one is liking the posts, I don't get anything I like on my FYP, everyone is back to getting in trouble for being adults while there are people being gifted for being extremely inappropriate and not banned. Yall broke everything they had already fixed.... Its ridiculous. I don't even get the news people I like watching either... I have to actually go to each of their pages to watch anything. When I like just about every post they make.","['every', 'getting', 'gifted', 'messed', 'people', 'fyp', 'liking', 'everything', 'watching', 'get', 'their', 'inappropriate', 'one', 'pages', 'extremely', 'anything', 'watch', 'don', 'make', 'yall', 'already', 'banned', 'fixed', 'news', 'each', 'actually', 'how', 'algorithm', 'over', 'posts', 'ridiculous', 'its', 'when', 'everyone', 'trouble', 'adults', 'they', 'just', 'about', 'like', 'post', 'either', 'being', 'there', 'even', 'back', 'while', 'broke']",['content'],Content
49dac504-97c3-4fd8-820c-224ab48b5a41,so beautiful app this,5,so beautiful app this,"['app', 'beautiful']",[],other
db2dbed3-5468-4de4-87ec-f180f88efb4c,sir can't send receive messages please solve my account,1,sir can't send receive messages please solve my account,"['sir', 'messages', 'send', 'receive', 'account', 'solve', 'can', 'please']",['account_issue'],Functionality
9625df41-656e-479a-8790-175dbcf9364b,"Tiktok is nice to scroll on and get some things off your mind. You can comment, Like, Share, Favorite, And create your own tiktoks and it's fun and all but however. Teenagers on the app are rude and disrespectful, Tiktok is letting a lot of things slide but when I comment or make something and it ain't even bad or close to how bad the other person said, They take it off. I honestly think photos need to be taken off of tiktok because people are using them for Inappropriate or rude purposes.",4,"Tiktok is nice to scroll on and get some things off your mind. You can comment, Like, Share, Favorite, And create your own tiktoks and it's fun and all but however. Teenagers on the app are rude and disrespectful, Tiktok is letting a lot of things slide but when I comment or make something and it ain't even bad or close to how bad the other person said, They take it off. I honestly think photos need to be taken off of tiktok because people are using them for Inappropriate or rude purposes.","['create', 'however', 'mind', 'lot', 'nice', 'share', 'some', 'people', 'need', 'favorite', 'disrespectful', 'something', 'honestly', 'get', 'close', 'inappropriate', 'all', 'taken', 'photos', 'them', 'make', 'take', 'can', 'letting', 'tiktoks', 'slide', 'how', 'off', 'ain', 'app', 'using', 'when', 'tiktok', 'scroll', 'said', 'they', 'rude', 'like', 'other', 'person', 'think', 'purposes', 'comment', 'things', 'even', 'bad', 'teenagers', 'because', 'fun', 'your', 'own']",[],other
be56ef8b-c4a7-428b-9f56-1eaab9bda67e,"Hello TikTok team I am so sorry my mistakes.I can,t send and receive messages on my account please tik tok team .I kindly request you to unlock my I'd,from this problem",1,"Hello TikTok team I am so sorry my mistakes.I can,t send and receive messages on my account please tik tok team .I kindly request you to unlock my I'd,from this problem","['messages', 'problem', 'send', 'receive', 'request', 'account', 'hello', 'kindly', 'mistakes', 'tok', 'team', 'tik', 'can', 'tiktok', 'unlock', 'please', 'sorry', 'from']",['account_issue'],Functionality
67f42d9c-8435-4385-acd7-6d0e626727e2,this app is the best but it has too many fake accounts,4,this app is the best but it has too many fake accounts,"['best', 'app', 'too', 'fake', 'many', 'accounts']",[],other
7cfa9e6d-bb4e-4b0a-ad00-907f9edfeca0,you almost turning into messenger,5,you almost turning into messenger,"['messenger', 'turning', 'into', 'almost']",[],other
3a9acbd0-5224-4145-9d8c-0634a676c213,it's very very very good,5,it's very very very good,"['very', 'good']",[],other
2ed16950-bc78-4a90-9dd3-2aafccce5fe7,direct massage suspend,5,direct massage suspend,"['suspend', 'massage', 'direct']",[],other
6a06933b-8ad3-4670-b787-3f8f41428d67,"apps fine I guess,but the algorithm is cooked",3,"apps fine I guess,but the algorithm is cooked","['apps', 'algorithm', 'cooked', 'fine', 'guess']",[],other
bf15ba79-9dfc-4f5b-a124-cb6be65da1f3,get to many unwanted video subjects.,4,get to many unwanted video subjects.,"['video', 'subjects', 'many', 'get', 'unwanted']",['content'],Content
a779cc5e-949c-4f63-b0ee-cf11b6c3a0c4,best way to waste your time on stupidity for some reason my brain was addictive to it.no more.,4,best way to waste your time on stupidity for some reason my brain was addictive to it.no more.,"['best', 'way', 'waste', 'more', 'some', 'stupidity', 'time', 'reason', 'brain', 'addictive', 'your']",[],other
f2766eca-98f0-46fa-a851-fbaad30e500d,tiktok is a Beautiful and Amazing aap,5,tiktok is a Beautiful and Amazing aap,"['aap', 'beautiful', 'amazing', 'tiktok']",[],other
f75d7b02-8cea-4b8d-b315-4a1c5c40df84,"TikTok ads are invasive. TikTok opened up a window for an ad, which wouldn't let me return to the app I had been using. That's NOT acceptable. I'm uninstalling it, and NEVER having any further contact with the abuse from TIKTOK. It's NOT worth the manipulation or the harassment. Server busy? I'll wait.",1,"TikTok ads are invasive. TikTok opened up a window for an ad, which wouldn't let me return to the app I had been using. That's NOT acceptable. I'm uninstalling it, and NEVER having any further contact with the abuse from TIKTOK. It's NOT worth the manipulation or the harassment. Server busy? I'll wait.","['contact', 'busy', 'further', 'uninstalling', 'let', 'return', 'been', 'abuse', 'window', 'wait', 'server', 'harassment', 'worth', 'acceptable', 'wouldn', 'using', 'app', 'any', 'ads', 'tiktok', 'manipulation', 'never', 'which', 'opened', 'invasive', 'having', 'from']",['monetization'],Monetization
d41fd5b9-cda7-4e12-898c-e8e1c5ab0e3a,"Bots can get access to your account and send scam messages from it and instead of getting rid of them tiktok will blame you. They will disable your dms, put a warning on your account, and threaten to ban it. They don't have actual customer support to talk to just a bot. And it is clear that if you try to appeal only a bot will look at it so it doesn't work.",1,"Bots can get access to your account and send scam messages from it and instead of getting rid of them tiktok will blame you. They will disable your dms, put a warning on your account, and threaten to ban it. They don't have actual customer support to talk to just a bot. And it is clear that if you try to appeal only a bot will look at it so it doesn't work.","['messages', 'actual', 'getting', 'try', 'warning', 'account', 'work', 'put', 'appeal', 'rid', 'get', 'ban', 'send', 'them', 'dms', 'don', 'access', 'can', 'threaten', 'only', 'will', 'look', 'doesn', 'scam', 'customer', 'instead', 'tiktok', 'blame', 'they', 'just', 'talk', 'bot', 'support', 'bots', 'clear', 'disable', 'your', 'from']",['account_issue'],Functionality
4edc4d7a-2535-4b80-bdfd-9b5cc9c9289e,Tiktok sucks for small business owners. Wish we had a section where we can find persons who love a specific topic or art. Tiktok doesn't push small biz owners videos enough so if you wanna make it on there good luck. It will stop your views at even 5 or 10. This app is a downfall.,1,Tiktok sucks for small business owners. Wish we had a section where we can find persons who love a specific topic or art. Tiktok doesn't push small biz owners videos enough so if you wanna make it on there good luck. It will stop your views at even 5 or 10. This app is a downfall.,"['small', 'wish', 'topic', 'where', 'section', 'love', 'owners', 'make', 'specific', 'persons', 'find', 'can', 'luck', 'will', 'business', 'push', 'doesn', 'biz', 'enough', 'downfall', 'videos', 'stop', 'art', 'app', 'who', 'tiktok', 'sucks', 'good', 'wanna', 'views', 'there', 'even', 'your']",[],other
15552aa9-66b1-4ec1-89df-12d287b0071f,when I try to make a slideshow at least ONE photo is absolute MESS fix it TikTok.,1,when I try to make a slideshow at least ONE photo is absolute MESS fix it TikTok.,"['one', 'photo', 'try', 'make', 'absolute', 'slideshow', 'when', 'mess', 'least', 'fix', 'tiktok']",[],other
c516d8a0-718a-4be9-9c15-002a842518d5,kindly TikTok team please reinstate the option of who can views your videos now this features of to see who can watched your videos now not showing . please reinstated this feature that one can know who can watched or views the videos or posts thanks special request,5,kindly TikTok team please reinstate the option of who can views your videos now this features of to see who can watched your videos now not showing . please reinstated this feature that one can know who can watched or views the videos or posts thanks special request,"['reinstate', 'features', 'thanks', 'please', 'one', 'now', 'kindly', 'can', 'special', 'posts', 'videos', 'showing', 'feature', 'know', 'team', 'who', 'tiktok', 'watched', 'views', 'reinstated', 'see', 'request', 'your', 'option']",[],other
7de73819-33cf-42fa-9d9d-2552c54cd4b2,Hi dear tik tok I'm a new using on tik tok application please Check my new official Account..... and viral all video on tik tok foryour page username tiktok JayShriram849,1,Hi dear tik tok I'm a new using on tik tok application please Check my new official Account..... and viral all video on tik tok foryour page username tiktok JayShriram849,"['new', 'official', 'dear', 'application', 'check', 'video', 'username', 'account', 'viral', 'using', 'tok', 'tik', 'foryour', 'tiktok', 'please', 'page', 'all']","['account_issue', 'content']",Functionality
bc237cf2-c8e0-4aa1-89ec-8b81dfe1c08d,It's slop and it takes your time. Tiktok knows you and how you think they are selling your information. Delete this.,1,It's slop and it takes your time. Tiktok knows you and how you think they are selling your information. Delete this.,"['knows', 'they', 'slop', 'think', 'information', 'how', 'time', 'selling', 'tiktok', 'takes', 'delete', 'your']",[],other
2485e4ef-e8b7-40ad-a178-51afffdfe0fe,My tik tok disturbs alot and l find difficulties to open it and l don't have any one to help me,1,My tik tok disturbs alot and l find difficulties to open it and l don't have any one to help me,"['one', 'help', 'difficulties', 'disturbs', 'don', 'tok', 'alot', 'open', 'find', 'tik', 'any']",[],other
b84f3397-7648-498f-91e5-8b74e5453a38,Last few days really bad and just keeps kicking me out.. any updates on the horizon?,4,Last few days really bad and just keeps kicking me out.. any updates on the horizon?,"['just', 'really', 'keeps', 'days', 'bad', 'last', 'kicking', 'any', 'out', 'few', 'horizon', 'updates']",[],other
c374bf48-1b73-43c4-8353-992f57c7cb5b,dear TikTok viral my all videos,2,dear TikTok viral my all videos,"['dear', 'viral', 'videos', 'tiktok', 'all']",[],other
65281cb5-7af6-491c-9362-6d12ac7afa8a,my name is gt blessing,5,my name is gt blessing,"['blessing', 'name']",[],other
0ec3dbad-7c34-454f-acd3-c80b87677fd4,this app is good to me,5,this app is good to me,"['app', 'good']",[],other
4c98ae27-538d-42ac-a2ad-df7be80a89dd,amazing app but it lags too much I've got to uninstall it every week so i can play some vids.. make an update pls,4,amazing app but it lags too much I've got to uninstall it every week so i can play some vids.. make an update pls,"['every', 'uninstall', 'play', 'week', 'update', 'got', 'some', 'make', 'app', 'pls', 'lags', 'too', 'much', 'amazing', 'can', 'vids']",[],other
7a035e0d-9934-435a-9a16-91101304480c,I really enjoyed the app,5,I really enjoyed the app,"['app', 'really', 'enjoyed']",[],other
e1658815-672c-489f-a9ab-e2c6c45c317a,shows I can pay 7 cents for 5 coins but it won't let me,2,shows I can pay 7 cents for 5 coins but it won't let me,"['coins', 'shows', 'cents', 'pay', 'can', 'let', 'won']",[],other
58d8c3d6-5ec1-4075-aa9e-f37a8c65accf,can't sharing video and message to my friends,1,can't sharing video and message to my friends,"['message', 'video', 'sharing', 'friends', 'can']",['content'],Content
565675d2-1f17-49f2-b866-81eaeff3f5cd,it's a really good app because they have all kinds of different videos and you can choose what u want to whatch highly reccomended,5,it's a really good app because they have all kinds of different videos and you can choose what u want to whatch highly reccomended,"['they', 'highly', 'good', 'really', 'whatch', 'different', 'videos', 'reccomended', 'what', 'app', 'choose', 'kinds', 'want', 'can', 'because', 'all']",[],other
254a08db-3560-4e66-bed6-e5e60e63ae42,Hi Dear TikTok I'am a new user on TikTok application please check my new official account... And please viral my all videos and account.,5,Hi Dear TikTok I'am a new user on TikTok application please check my new official account... And please viral my all videos and account.,"['new', 'official', 'application', 'dear', 'check', 'user', 'account', 'viral', 'videos', 'tiktok', 'please', 'all']",['account_issue'],Functionality
2df316bd-dbea-4c6a-a136-80c30ad7771c,this app not open fast,2,this app not open fast,"['app', 'open', 'fast']",[],other
476d04fb-5e1d-4887-9601-36884187c8ba,it's not working well when. I put mobile data tiktok is not working,1,it's not working well when. I put mobile data tiktok is not working,"['mobile', 'working', 'put', 'data', 'when', 'tiktok', 'well']",[],other
dd8bf0c4-903d-4c30-8565-b34be2e63c80,Delays in downloading,1,Delays in downloading,"['delays', 'downloading']",[],other
78dee2ae-9a82-4688-9bce-5a06c16aab05,I made a tiktok account and made videos but it takes 5 weeks for it to get a single view or a like while I'm busy scrolling there giving people views but they don't give my videos views o likes how coz I'm gonna end up uninstalling it coz I can't take it anymore,1,I made a tiktok account and made videos but it takes 5 weeks for it to get a single view or a like while I'm busy scrolling there giving people views but they don't give my videos views o likes how coz I'm gonna end up uninstalling it coz I can't take it anymore,"['busy', 'account', 'scrolling', 'people', 'giving', 'uninstalling', 'get', 'anymore', 'view', 'don', 'take', 'can', 'end', 'single', 'how', 'gonna', 'videos', 'coz', 'give', 'tiktok', 'they', 'like', 'weeks', 'views', 'there', 'likes', 'made', 'while', 'takes']",['account_issue'],Functionality
a0c2f98d-b7eb-4431-a855-1f6eb67844f4,this is such an amazing app .It is so helpful when you are getting bored.,3,this is such an amazing app .It is so helpful when you are getting bored.,"['helpful', 'getting', 'such', 'app', 'bored', 'when', 'amazing']",[],other
722482dd-f0e8-4ca8-9566-b6c54bb5ba33,it hacking and not working frequently on my phone,1,it hacking and not working frequently on my phone,"['frequently', 'working', 'phone', 'hacking']",[],other
b31bbbfa-4c89-4b07-8ad6-5d3aea75d91e,it's fun and I can learn things,5,it's fun and I can learn things,"['fun', 'things', 'learn', 'can']",[],other
d6a94aeb-9d1f-4adf-983d-a1215d86ddc7,"only useful for the Ni-ki thirst trap edits, Stan Enhypen",5,"only useful for the Ni-ki thirst trap edits, Stan Enhypen","['stan', 'edits', 'enhypen', 'useful', 'thirst', 'trap', 'only']",[],other
048898ba-f588-4c38-9fd9-e83292661085,"It's GREAT but it's been lagging a lot, it won't even let me play tiktoks, it's like it's paused, and it also won't let me hear the audio the vid is playing. PLS fix this SOon (EDIT) IT'S WORKING AGAIN! I'm guessing it was just a bug, but it's working again, so that's all that matters!!",5,"It's GREAT but it's been lagging a lot, it won't even let me play tiktoks, it's like it's paused, and it also won't let me hear the audio the vid is playing. PLS fix this SOon (EDIT) IT'S WORKING AGAIN! I'm guessing it was just a bug, but it's working again, so that's all that matters!!","['lot', 'edit', 'let', 'won', 'all', 'been', 'soon', 'bug', 'hear', 'vid', 'paused', 'also', 'tiktoks', 'playing', 'play', 'lagging', 'guessing', 'working', 'great', 'audio', 'fix', 'matters', 'just', 'like', 'even', 'pls', 'again']",['performance_issue'],Performance
c25571a2-32c0-4f71-96f7-4c1c951f816c,"Hello dear TikTok team Very important Please l need your help because your aooount has mistakenly put my account in the freezeflist. please re_check my account correctly and remove my account from the freezer list because I have not mhe freezer list.Because | have not made any mistake that isagainst TikTok police dut still my account: has been frozen and my views have decreased a lot and I am also working hard on TikTok now to make very good videos constant butt still, my views are much lower",1,"Hello dear TikTok team Very important Please l need your help because your aooount has mistakenly put my account in the freezeflist. please re_check my account correctly and remove my account from the freezer list because I have not mhe freezer list.Because | have not made any mistake that isagainst TikTok police dut still my account: has been frozen and my views have decreased a lot and I am also working hard on TikTok now to make very good videos constant butt still, my views are much lower","['freezeflist', 'lot', 'freezer', 'account', 'mhe', 'need', 'put', 'please', 'remove', 'important', 'decreased', 'help', 'aooount', 'now', 'correctly', 'been', 'mistakenly', 'make', 'mistake', 'also', 'isagainst', 'dut', 'list', 'dear', 'butt', 'constant', 'hard', 'working', 'videos', 'team', 'any', 'police', 'tiktok', 'very', 'still', 'lower', 'frozen', 'good', 'hello', 'views', 'much', 'because', 'made', 'your', 'from']",['account_issue'],Functionality
55390756-b10e-4316-b493-a459dd06046b,anytime I entered this app is 50/50 it might go back to home screen by it self,3,anytime I entered this app is 50/50 it might go back to home screen by it self,"['anytime', 'home', 'app', 'back', 'might', 'entered', 'screen', 'self']",[],other
b879b1c6-c085-4197-9f16-bf9a07522cee,A useless app designed only to waste time and turn people into shallow individuals,1,A useless app designed only to waste time and turn people into shallow individuals,"['individuals', 'shallow', 'waste', 'turn', 'useless', 'people', 'app', 'time', 'into', 'designed', 'only']",[],other
ea830eeb-0273-400b-a09a-a98ce9925364,yall took me out of tiktok for no reason and I got banned and then give me a damn appeal don't like tiktok and I was talking to my sister on there I don't have a iPhone so good I can't talk to no more not y'all fault though it's ok,5,yall took me out of tiktok for no reason and I got banned and then give me a damn appeal don't like tiktok and I was talking to my sister on there I don't have a iPhone so good I can't talk to no more not y'all fault though it's ok,"['reason', 'appeal', 'then', 'all', 'talking', 'don', 'yall', 'out', 'banned', 'can', 'fault', 'iphone', 'more', 'give', 'tiktok', 'sister', 'talk', 'like', 'good', 'damn', 'got', 'there', 'took', 'though']",[],other
f66793a1-3da7-4458-8276-a177d7dd9a7b,where did the lock 2x speed feature go !!!!!!!,1,where did the lock 2x speed feature go !!!!!!!,"['speed', 'feature', 'where', 'lock']",[],other
c54620dd-6982-4d95-a758-1ab60c341469,Best application ever,1,Best application ever,"['best', 'application', 'ever']",[],other
1a078e4c-7562-4e49-9acf-f6185883b58e,"Plz,add opacity options in video toolbox for a more immersive experience.",3,"Plz,add opacity options in video toolbox for a more immersive experience.","['add', 'plz', 'video', 'opacity', 'experience', 'options', 'more', 'immersive', 'toolbox']",['content'],Content
